symptoms,disease
"vomiting,fever,headache",Flu
"shortness of breath,fever,cough",COVID-19
"nausea,headache,body ache",Malaria
"shortness of breath,body ache,headache",COVID-19
"cough,runny nose,weakness",COVID-19
"chills,weakness,shortness of breath",COVID-19
"vomiting,runny nose,muscle pain",Malaria
"cough,sore throat,weakness",COVID-19
"fever,weakness,chills",Flu
"fever,chills,nausea",Flu
"muscle pain,nausea,headache",Flu
"headache,shortness of breath,vomiting",COVID-19
"muscle pain,cough,vomiting",Malaria
"sore throat,body ache,vomiting",Malaria
"fever,weakness,chills",Flu
"nausea,headache,runny nose",Allergy
"body ache,chills,vomiting",Malaria
"body ache,shortness of breath,muscle pain",Malaria
"shortness of breath,body ache,nausea",Malaria
"chills,weakness,body ache",Malaria
"weakness,chills,sore throat",Malaria
"headache,weakness,shortness of breath",COVID-19
"shortness of breath,headache,sore throat",COVID-19
"cough,shortness of breath,weakness",COVID-19
"fever,weakness,nausea",Malaria
"shortness of breath,weakness,sore throat",COVID-19
"chills,headache,shortness of breath",Flu
"vomiting,shortness of breath,cough",COVID-19
"vomiting,runny nose,cough",Malaria
"fever,nausea,chills",Flu
"sore throat,body ache,cough",Malaria
"weakness,cough,headache",Malaria
"body ache,shortness of breath,sore throat",Malaria
"nausea,sore throat,vomiting",Malaria
"chills,vomiting,nausea",Malaria
"shortness of breath,muscle pain,cough",COVID-19
"muscle pain,runny nose,fever",Flu
"vomiting,headache,muscle pain",Flu
"cough,shortness of breath,headache",COVID-19
"weakness,fever,shortness of breath",COVID-19
"nausea,chills,sore throat",Flu
"runny nose,headache,vomiting",Flu
"weakness,muscle pain,cough",Malaria
"vomiting,chills,body ache",Malaria
"shortness of breath,fever,nausea",COVID-19
"body ache,weakness,nausea",Malaria
"headache,weakness,vomiting",Malaria
"shortness of breath,runny nose,headache",COVID-19
"shortness of breath,headache,sore throat",COVID-19
"cough,headache,shortness of breath",COVID-19
"nausea,weakness,headache",Malaria
"cough,muscle pain,shortness of breath",COVID-19
"vomiting,nausea,weakness",Malaria
"nausea,body ache,runny nose",Malaria
"shortness of breath,sore throat,muscle pain",COVID-19
"sore throat,body ache,cough",Malaria
"vomiting,shortness of breath,runny nose",Malaria
"runny nose,muscle pain,chills",Flu
"weakness,runny nose,fever",Malaria
"runny nose,shortness of breath,vomiting",COVID-19
"sore throat,body ache,cough",Malaria
"sore throat,nausea,muscle pain",Flu
"fever,weakness,vomiting",Malaria
"runny nose,sore throat,headache",Flu
"sore throat,cough,chills",COVID-19
"body ache,runny nose,nausea",Malaria
"fever,vomiting,shortness of breath",Malaria
"runny nose,chills,vomiting",Malaria
"fever,runny nose,sore throat",Cold
"fever,shortness of breath,chills",Flu
"vomiting,shortness of breath,runny nose",Malaria
"muscle pain,weakness,vomiting",Malaria
"headache,body ache,weakness",Malaria
"weakness,fever,vomiting",Malaria
"cough,muscle pain,sore throat",COVID-19
"shortness of breath,cough,body ache",COVID-19
"runny nose,cough,vomiting",Malaria
"body ache,chills,sore throat",Malaria
"fever,headache,cough",Flu
"muscle pain,headache,fever",Flu
"weakness,shortness of breath,nausea",Malaria
"runny nose,weakness,headache",Flu
"vomiting,sore throat,weakness",Malaria
"shortness of breath,fever,body ache",COVID-19
"chills,muscle pain,cough",Flu
"runny nose,nausea,weakness",Malaria
"body ache,vomiting,headache",Malaria
"fever,cough,shortness of breath",COVID-19
"shortness of breath,headache,fever",Flu
"cough,runny nose,weakness",COVID-19
"muscle pain,sore throat,runny nose",Flu
"runny nose,muscle pain,nausea",Flu
"body ache,headache,sore throat",Malaria
"cough,sore throat,muscle pain",COVID-19
"vomiting,cough,muscle pain",Malaria
"vomiting,nausea,weakness",Malaria
"sore throat,nausea,runny nose",Allergy
"fever,runny nose,muscle pain",Flu
"cough,shortness of breath,sore throat",COVID-19
"vomiting,runny nose,headache",Malaria
"muscle pain,vomiting,chills",Flu
"sore throat,fever,headache",Flu
"headache,shortness of breath,body ache",COVID-19
"sore throat,runny nose,headache",Flu
"fever,sore throat,vomiting",Malaria
"vomiting,nausea,weakness",Malaria
"body ache,shortness of breath,runny nose",Malaria
"chills,sore throat,nausea",Flu
"cough,body ache,weakness",Malaria
"vomiting,cough,headache",Malaria
"vomiting,runny nose,muscle pain",Malaria
"chills,nausea,vomiting",Malaria
"cough,nausea,weakness",Malaria
"muscle pain,weakness,headache",Flu
"weakness,headache,chills",Flu
"muscle pain,body ache,weakness",Malaria
"fever,sore throat,headache",Flu
"cough,fever,headache",Flu
"runny nose,cough,muscle pain",COVID-19
"fever,muscle pain,runny nose",Flu
"muscle pain,cough,shortness of breath",COVID-19
"runny nose,chills,cough",COVID-19
"nausea,shortness of breath,fever",COVID-19
"body ache,sore throat,cough",Malaria
"cough,vomiting,fever",Malaria
"weakness,vomiting,sore throat",Malaria
"muscle pain,cough,chills",Flu
"weakness,cough,nausea",Malaria
"runny nose,sore throat,body ache",Malaria
"nausea,body ache,cough",Malaria
"nausea,runny nose,fever",Allergy
"muscle pain,sore throat,fever",Flu
"shortness of breath,nausea,vomiting",Malaria
"body ache,chills,nausea",Malaria
"runny nose,cough,chills",COVID-19
"body ache,nausea,fever",Malaria
"weakness,chills,body ache",Malaria
"headache,shortness of breath,cough",COVID-19
"runny nose,sore throat,weakness",Malaria
"headache,muscle pain,runny nose",Flu
"headache,body ache,muscle pain",Flu
"nausea,chills,runny nose",Allergy
"nausea,body ache,fever",Malaria
"vomiting,cough,shortness of breath",COVID-19
"weakness,vomiting,headache",Malaria
"vomiting,nausea,shortness of breath",Malaria
"muscle pain,runny nose,fever",Flu
"shortness of breath,fever,vomiting",COVID-19
"muscle pain,chills,body ache",Flu
"runny nose,chills,weakness",Malaria
"muscle pain,fever,sore throat",Flu
"muscle pain,body ache,runny nose",Malaria
"runny nose,muscle pain,nausea",Flu
"fever,runny nose,vomiting",Malaria
"fever,cough,chills",Flu
"shortness of breath,body ache,fever",COVID-19
"cough,vomiting,nausea",Malaria
"body ache,weakness,runny nose",Malaria
"headache,weakness,muscle pain",Flu
"shortness of breath,nausea,body ache",Malaria
"sore throat,body ache,vomiting",Malaria
"shortness of breath,sore throat,fever",COVID-19
"weakness,vomiting,fever",Malaria
"runny nose,headache,cough",Flu
"chills,sore throat,nausea",Flu
"vomiting,body ache,headache",Malaria
"shortness of breath,weakness,vomiting",Malaria
"runny nose,vomiting,nausea",Malaria
"body ache,nausea,headache",Malaria
"vomiting,muscle pain,nausea",Malaria
"shortness of breath,body ache,sore throat",COVID-19
"body ache,fever,shortness of breath",Malaria
"chills,shortness of breath,nausea",COVID-19
"shortness of breath,headache,chills",Flu
"sore throat,nausea,shortness of breath",COVID-19
"muscle pain,fever,chills",Flu
"cough,nausea,vomiting",Malaria
"runny nose,shortness of breath,weakness",COVID-19
"sore throat,cough,fever",COVID-19
"vomiting,headache,chills",Flu
"fever,cough,runny nose",COVID-19
"sore throat,shortness of breath,cough",COVID-19
"headache,shortness of breath,cough",COVID-19
"muscle pain,cough,nausea",Flu
"cough,runny nose,vomiting",Malaria
"nausea,runny nose,weakness",Malaria
"nausea,muscle pain,shortness of breath",COVID-19
"fever,nausea,vomiting",Malaria
"vomiting,chills,body ache",Malaria
"cough,vomiting,headache",Malaria
"chills,cough,weakness",COVID-19
"body ache,muscle pain,sore throat",Malaria
"nausea,runny nose,vomiting",Malaria
"nausea,headache,cough",COVID-19
"fever,body ache,cough",Malaria
"shortness of breath,runny nose,vomiting",COVID-19
"headache,runny nose,body ache",Allergy
"cough,fever,weakness",COVID-19
"sore throat,weakness,nausea",Malaria
"muscle pain,chills,shortness of breath",Flu
"cough,sore throat,body ache",Malaria
"fever,runny nose,vomiting",Malaria
"vomiting,nausea,sore throat",Malaria
"fever,cough,shortness of breath",COVID-19
"nausea,muscle pain,body ache",Malaria
"sore throat,muscle pain,vomiting",Malaria
"muscle pain,headache,chills",Flu
"headache,muscle pain,fever",Flu
"vomiting,sore throat,runny nose",Malaria
"fever,sore throat,runny nose",Cold
"chills,muscle pain,fever",Flu
"shortness of breath,muscle pain,nausea",COVID-19
"fever,runny nose,cough",COVID-19
"fever,runny nose,muscle pain",Flu
"muscle pain,sore throat,vomiting",Malaria
"vomiting,fever,muscle pain",Flu
"headache,muscle pain,runny nose",Flu
"chills,vomiting,nausea",Malaria
"sore throat,cough,fever",COVID-19
"vomiting,cough,muscle pain",Malaria
"vomiting,body ache,runny nose",Malaria
"chills,cough,nausea",COVID-19
"runny nose,cough,headache",Flu
"headache,nausea,sore throat",Flu
"runny nose,weakness,shortness of breath",COVID-19
"weakness,cough,body ache",Malaria
"nausea,shortness of breath,body ache",Malaria
"vomiting,body ache,chills",Malaria
"shortness of breath,body ache,nausea",Malaria
"nausea,runny nose,shortness of breath",COVID-19
"headache,weakness,chills",Flu
"weakness,chills,sore throat",Malaria
"sore throat,fever,cough",COVID-19
"nausea,chills,fever",Flu
"runny nose,headache,cough",Flu
"sore throat,muscle pain,fever",Flu
"body ache,shortness of breath,nausea",Malaria
"muscle pain,nausea,sore throat",Flu
"nausea,vomiting,headache",Malaria
"chills,runny nose,weakness",Allergy
"headache,shortness of breath,vomiting",COVID-19
"weakness,muscle pain,headache",Flu
"vomiting,muscle pain,chills",Flu
"chills,fever,nausea",Flu
"body ache,cough,runny nose",Malaria
"fever,cough,vomiting",Malaria
"fever,body ache,chills",Flu
"body ache,nausea,runny nose",Malaria
"headache,chills,body ache",Flu
"muscle pain,nausea,runny nose",Flu
"nausea,fever,shortness of breath",COVID-19
"cough,fever,chills",Flu
"cough,nausea,fever",COVID-19
"headache,muscle pain,chills",Flu
"muscle pain,chills,shortness of breath",Flu
"shortness of breath,headache,runny nose",COVID-19
"shortness of breath,body ache,fever",COVID-19
"cough,chills,shortness of breath",COVID-19
"body ache,muscle pain,shortness of breath",Malaria
"sore throat,nausea,shortness of breath",COVID-19
"muscle pain,chills,runny nose",Flu
"vomiting,body ache,cough",Malaria
"shortness of breath,sore throat,body ache",COVID-19
"weakness,cough,muscle pain",Malaria
"body ache,weakness,fever",Malaria
"sore throat,runny nose,body ache",Malaria
"body ache,weakness,shortness of breath",Malaria
"shortness of breath,vomiting,muscle pain",COVID-19
"shortness of breath,sore throat,nausea",COVID-19
"cough,weakness,fever",COVID-19
"weakness,headache,fever",Flu
"nausea,shortness of breath,headache",COVID-19
"weakness,runny nose,shortness of breath",COVID-19
"runny nose,shortness of breath,chills",COVID-19
"weakness,fever,sore throat",Malaria
"chills,nausea,muscle pain",Flu
"fever,nausea,chills",Flu
"sore throat,muscle pain,cough",Flu
"muscle pain,fever,cough",Flu
"chills,fever,runny nose",Flu
"fever,muscle pain,vomiting",Flu
"chills,muscle pain,vomiting",Flu
"fever,cough,shortness of breath",COVID-19
"runny nose,sore throat,headache",Flu
"cough,vomiting,body ache",Malaria
"body ache,weakness,chills",Malaria
"chills,runny nose,nausea",Allergy
"chills,vomiting,nausea",Malaria
"nausea,vomiting,shortness of breath",Malaria
"shortness of breath,headache,vomiting",COVID-19
"weakness,headache,cough",Malaria
"chills,sore throat,runny nose",Allergy
"sore throat,shortness of breath,vomiting",COVID-19
"muscle pain,shortness of breath,body ache",COVID-19
"runny nose,shortness of breath,sore throat",COVID-19
"muscle pain,fever,body ache",Flu
"sore throat,runny nose,nausea",Allergy
"muscle pain,nausea,chills",Flu
"chills,sore throat,vomiting",Malaria
"chills,vomiting,sore throat",Malaria
"muscle pain,fever,body ache",Flu
"muscle pain,shortness of breath,nausea",COVID-19
"chills,nausea,headache",Flu
"shortness of breath,muscle pain,chills",Flu
"chills,vomiting,weakness",Malaria
"muscle pain,cough,fever",Flu
"nausea,weakness,muscle pain",Malaria
"fever,vomiting,runny nose",Malaria
"headache,runny nose,weakness",Allergy
"shortness of breath,body ache,fever",COVID-19
"sore throat,fever,headache",Flu
"shortness of breath,weakness,runny nose",COVID-19
"cough,runny nose,weakness",COVID-19
"vomiting,cough,runny nose",Malaria
"weakness,chills,fever",Flu
"vomiting,headache,runny nose",Malaria
"headache,cough,runny nose",Allergy
"runny nose,headache,vomiting",Flu
"fever,vomiting,headache",Flu
"body ache,vomiting,weakness",Malaria
"chills,shortness of breath,body ache",COVID-19
"body ache,headache,muscle pain",Flu
"vomiting,muscle pain,body ache",Malaria
"fever,runny nose,weakness",Malaria
"shortness of breath,nausea,cough",COVID-19
"weakness,headache,cough",Malaria
"body ache,runny nose,nausea",Malaria
"runny nose,fever,headache",Flu
"chills,shortness of breath,body ache",COVID-19
"shortness of breath,nausea,chills",COVID-19
"vomiting,sore throat,body ache",Malaria
"runny nose,nausea,headache",Flu
"fever,body ache,muscle pain",Flu
"vomiting,runny nose,shortness of breath",Malaria
"fever,body ache,vomiting",Malaria
"nausea,sore throat,fever",Flu
"vomiting,muscle pain,nausea",Malaria
"runny nose,shortness of breath,fever",COVID-19
"sore throat,headache,nausea",Flu
"cough,fever,shortness of breath",COVID-19
"vomiting,headache,cough",Malaria
"sore throat,chills,weakness",Malaria
"cough,chills,weakness",COVID-19
"vomiting,chills,sore throat",Malaria
"chills,runny nose,fever",Flu
"weakness,body ache,chills",Malaria
"cough,headache,chills",Flu
"body ache,cough,fever",Malaria
"shortness of breath,weakness,nausea",Malaria
"sore throat,shortness of breath,fever",COVID-19
"nausea,headache,muscle pain",Flu
"vomiting,muscle pain,runny nose",Malaria
"headache,weakness,vomiting",Malaria
"headache,chills,muscle pain",Flu
"cough,runny nose,sore throat",COVID-19
"muscle pain,runny nose,headache",Flu
"shortness of breath,cough,vomiting",COVID-19
"cough,fever,headache",Flu
"muscle pain,headache,cough",Flu
"weakness,shortness of breath,sore throat",COVID-19
"headache,chills,sore throat",Flu
"fever,vomiting,weakness",Malaria
"cough,chills,shortness of breath",COVID-19
"muscle pain,sore throat,cough",Flu
"sore throat,weakness,headache",Malaria
"muscle pain,shortness of breath,sore throat",COVID-19
"fever,cough,chills",Flu
"body ache,muscle pain,shortness of breath",Malaria
"muscle pain,nausea,cough",Flu
"sore throat,vomiting,weakness",Malaria
"body ache,weakness,muscle pain",Malaria
"nausea,weakness,headache",Malaria
"headache,fever,weakness",Flu
"vomiting,cough,runny nose",Malaria
"cough,runny nose,chills",COVID-19
"headache,fever,body ache",Flu
"vomiting,headache,cough",Malaria
"muscle pain,shortness of breath,body ache",COVID-19
"runny nose,chills,nausea",Flu
"fever,weakness,body ache",Malaria
"vomiting,runny nose,fever",Malaria
"cough,chills,sore throat",COVID-19
"vomiting,muscle pain,cough",Malaria
"shortness of breath,cough,chills",COVID-19
"shortness of breath,cough,vomiting",COVID-19
"body ache,chills,sore throat",Malaria
"vomiting,cough,sore throat",Malaria
"chills,shortness of breath,body ache",COVID-19
"fever,runny nose,shortness of breath",COVID-19
"cough,runny nose,weakness",COVID-19
"chills,vomiting,body ache",Malaria
"runny nose,sore throat,fever",Allergy
"nausea,shortness of breath,cough",COVID-19
"fever,headache,chills",Flu
"fever,muscle pain,weakness",Flu
"nausea,muscle pain,runny nose",Flu
"sore throat,chills,runny nose",Allergy
"nausea,fever,runny nose",Allergy
"shortness of breath,sore throat,headache",COVID-19
"muscle pain,vomiting,runny nose",Malaria
"sore throat,chills,shortness of breath",COVID-19
"weakness,body ache,vomiting",Malaria
"fever,sore throat,weakness",Malaria
"fever,muscle pain,headache",Flu
"sore throat,cough,chills",COVID-19
"muscle pain,weakness,headache",Flu
"body ache,nausea,shortness of breath",Malaria
"chills,vomiting,muscle pain",Flu
"cough,fever,vomiting",Malaria
"nausea,shortness of breath,weakness",Malaria
"muscle pain,sore throat,weakness",Flu
"cough,muscle pain,sore throat",COVID-19
"weakness,chills,fever",Flu
"weakness,muscle pain,vomiting",Malaria
"vomiting,headache,cough",Malaria
"chills,muscle pain,weakness",Flu
"fever,cough,vomiting",Malaria
"sore throat,nausea,shortness of breath",COVID-19
"vomiting,muscle pain,shortness of breath",Malaria
"sore throat,shortness of breath,fever",COVID-19
"sore throat,shortness of breath,runny nose",COVID-19
"body ache,weakness,nausea",Malaria
"body ache,fever,muscle pain",Flu
"runny nose,chills,sore throat",Flu
"vomiting,shortness of breath,weakness",Malaria
"muscle pain,nausea,headache",Flu
"runny nose,fever,muscle pain",Flu
"body ache,headache,vomiting",Malaria
"vomiting,sore throat,weakness",Malaria
"headache,weakness,shortness of breath",COVID-19
"shortness of breath,body ache,chills",COVID-19
"cough,weakness,fever",COVID-19
"fever,vomiting,sore throat",Malaria
"weakness,body ache,headache",Malaria
"body ache,nausea,chills",Malaria
"chills,fever,sore throat",Flu
"sore throat,nausea,runny nose",Allergy
"body ache,cough,nausea",Malaria
"cough,sore throat,shortness of breath",COVID-19
"nausea,headache,shortness of breath",COVID-19
"runny nose,body ache,fever",Malaria
"shortness of breath,nausea,muscle pain",COVID-19
"body ache,fever,vomiting",Malaria
"headache,weakness,sore throat",Malaria
"sore throat,vomiting,fever",Malaria
"shortness of breath,muscle pain,headache",Flu
"vomiting,shortness of breath,fever",Malaria
"cough,muscle pain,vomiting",Malaria
"weakness,body ache,runny nose",Malaria
"fever,runny nose,headache",Flu
"nausea,headache,cough",COVID-19
"nausea,fever,sore throat",Cold
"cough,body ache,runny nose",Malaria
"chills,shortness of breath,vomiting",COVID-19
"fever,body ache,muscle pain",Flu
"weakness,body ache,shortness of breath",Malaria
"weakness,muscle pain,vomiting",Malaria
"headache,sore throat,weakness",Malaria
"shortness of breath,body ache,muscle pain",COVID-19
"cough,headache,weakness",COVID-19
"nausea,vomiting,weakness",Malaria
"fever,muscle pain,vomiting",Flu
"cough,shortness of breath,muscle pain",COVID-19
"sore throat,fever,vomiting",Malaria
"headache,runny nose,shortness of breath",Allergy
"runny nose,muscle pain,shortness of breath",COVID-19
"headache,weakness,nausea",Malaria
"chills,sore throat,runny nose",Allergy
"shortness of breath,body ache,muscle pain",COVID-19
"fever,headache,body ache",Flu
"cough,muscle pain,sore throat",COVID-19
"runny nose,headache,sore throat",Flu
"weakness,runny nose,sore throat",Malaria
"headache,body ache,fever",Flu
"runny nose,chills,headache",Flu
"fever,body ache,runny nose",Malaria
"runny nose,shortness of breath,headache",COVID-19
"nausea,runny nose,cough",COVID-19
"cough,weakness,fever",COVID-19
"nausea,fever,sore throat",Cold
"nausea,weakness,body ache",Malaria
"cough,body ache,weakness",Malaria
"headache,cough,shortness of breath",COVID-19
"runny nose,headache,fever",Flu
"weakness,muscle pain,vomiting",Malaria
"muscle pain,vomiting,sore throat",Malaria
"muscle pain,shortness of breath,fever",Flu
"weakness,shortness of breath,body ache",Malaria
"runny nose,vomiting,nausea",Malaria
"weakness,headache,shortness of breath",COVID-19
"cough,chills,body ache",Malaria
"muscle pain,runny nose,sore throat",Flu
"fever,runny nose,vomiting",Malaria
"nausea,body ache,sore throat",Malaria
"runny nose,chills,fever",Flu
"muscle pain,body ache,nausea",Malaria
"sore throat,fever,cough",COVID-19
"chills,nausea,vomiting",Malaria
"cough,chills,weakness",COVID-19
"muscle pain,weakness,nausea",Malaria
"sore throat,chills,nausea",Flu
"fever,weakness,muscle pain",Flu
"fever,vomiting,cough",Malaria
"weakness,sore throat,nausea",Malaria
"fever,runny nose,body ache",Malaria
"body ache,chills,shortness of breath",Malaria
"weakness,body ache,runny nose",Malaria
"chills,vomiting,cough",Malaria
"chills,cough,vomiting",Malaria
"sore throat,runny nose,nausea",Allergy
"fever,runny nose,vomiting",Malaria
"nausea,shortness of breath,headache",COVID-19
"shortness of breath,headache,weakness",COVID-19
"sore throat,runny nose,weakness",Malaria
"nausea,chills,body ache",Malaria
"nausea,chills,shortness of breath",COVID-19
"runny nose,fever,vomiting",Malaria
"body ache,chills,headache",Flu
"body ache,runny nose,weakness",Malaria
"headache,chills,vomiting",Flu
"chills,runny nose,nausea",Allergy
"nausea,muscle pain,chills",Flu
"nausea,shortness of breath,muscle pain",COVID-19
"muscle pain,shortness of breath,headache",Flu
"sore throat,cough,shortness of breath",COVID-19
"runny nose,nausea,headache",Flu
"sore throat,fever,cough",COVID-19
"runny nose,muscle pain,fever",Flu
"fever,sore throat,nausea",Cold
"weakness,fever,muscle pain",Flu
"sore throat,nausea,muscle pain",Flu
"body ache,chills,shortness of breath",Malaria
"fever,body ache,runny nose",Malaria
"fever,vomiting,headache",Flu
"cough,shortness of breath,muscle pain",COVID-19
"cough,body ache,chills",Malaria
"shortness of breath,headache,chills",Flu
"vomiting,weakness,chills",Malaria
"shortness of breath,nausea,runny nose",COVID-19
"muscle pain,headache,sore throat",Flu
"weakness,vomiting,chills",Malaria
"body ache,weakness,fever",Malaria
"runny nose,headache,nausea",Flu
"shortness of breath,nausea,vomiting",Malaria
"weakness,headache,muscle pain",Flu
"fever,sore throat,nausea",Cold
"chills,shortness of breath,cough",COVID-19
"cough,vomiting,sore throat",Malaria
"sore throat,runny nose,chills",Flu
"vomiting,fever,chills",Flu
"weakness,fever,vomiting",Malaria
"muscle pain,fever,body ache",Flu
"fever,muscle pain,weakness",Flu
"sore throat,cough,body ache",Malaria
"vomiting,chills,fever",Flu
"runny nose,muscle pain,cough",Flu
"headache,vomiting,runny nose",Malaria
"shortness of breath,chills,fever",Flu
"fever,nausea,shortness of breath",COVID-19
"cough,nausea,vomiting",Malaria
"sore throat,cough,vomiting",Malaria
"nausea,body ache,vomiting",Malaria
"body ache,sore throat,cough",Malaria
"runny nose,vomiting,muscle pain",Malaria
"muscle pain,weakness,fever",Flu
"shortness of breath,nausea,weakness",Malaria
"cough,sore throat,shortness of breath",COVID-19
"fever,chills,shortness of breath",Flu
"shortness of breath,body ache,fever",COVID-19
"cough,sore throat,vomiting",Malaria
"cough,fever,vomiting",Malaria
"runny nose,fever,vomiting",Malaria
"runny nose,fever,weakness",Malaria
"shortness of breath,weakness,fever",COVID-19
"cough,chills,sore throat",COVID-19
"chills,body ache,cough",Malaria
"vomiting,sore throat,headache",Malaria
"fever,runny nose,weakness",Malaria
"vomiting,chills,headache",Flu
"vomiting,chills,shortness of breath",Malaria
"muscle pain,weakness,vomiting",Malaria
"vomiting,chills,nausea",Malaria
"fever,sore throat,vomiting",Malaria
"runny nose,sore throat,cough",COVID-19
"body ache,sore throat,vomiting",Malaria
"nausea,weakness,sore throat",Malaria
"nausea,runny nose,fever",Allergy
"vomiting,cough,nausea",Malaria
"runny nose,chills,headache",Flu
"weakness,body ache,vomiting",Malaria
"weakness,nausea,sore throat",Malaria
"chills,fever,nausea",Flu
"sore throat,vomiting,shortness of breath",Malaria
"muscle pain,chills,weakness",Flu
"body ache,headache,runny nose",Malaria
"vomiting,chills,muscle pain",Flu
"runny nose,body ache,weakness",Malaria
"nausea,chills,headache",Flu
"sore throat,vomiting,chills",Malaria
"weakness,cough,shortness of breath",COVID-19
"muscle pain,vomiting,chills",Flu
"body ache,cough,headache",Malaria
"body ache,shortness of breath,chills",Malaria
"fever,runny nose,headache",Flu
"runny nose,headache,muscle pain",Flu
"fever,cough,headache",Flu
"runny nose,vomiting,headache",Malaria
"muscle pain,vomiting,fever",Flu
"sore throat,nausea,vomiting",Malaria
"nausea,chills,vomiting",Malaria
"sore throat,shortness of breath,weakness",COVID-19
"fever,chills,muscle pain",Flu
"weakness,headache,fever",Flu
"fever,headache,body ache",Flu
"muscle pain,runny nose,body ache",Malaria
"headache,cough,chills",Flu
"runny nose,body ache,nausea",Malaria
"vomiting,runny nose,muscle pain",Malaria
"cough,nausea,chills",COVID-19
"sore throat,nausea,vomiting",Malaria
"shortness of breath,weakness,runny nose",COVID-19
"sore throat,cough,weakness",COVID-19
"chills,muscle pain,shortness of breath",Flu
"shortness of breath,muscle pain,vomiting",COVID-19
"chills,weakness,body ache",Malaria
"body ache,fever,runny nose",Malaria
"fever,headache,muscle pain",Flu
"body ache,chills,vomiting",Malaria
"fever,runny nose,shortness of breath",COVID-19
"chills,cough,weakness",COVID-19
"headache,weakness,muscle pain",Flu
"cough,chills,body ache",Malaria
"shortness of breath,weakness,sore throat",COVID-19
"shortness of breath,body ache,sore throat",COVID-19
"body ache,cough,shortness of breath",COVID-19
"weakness,chills,muscle pain",Flu
"weakness,chills,runny nose",Allergy
"runny nose,cough,weakness",COVID-19
"cough,vomiting,sore throat",Malaria
"body ache,headache,shortness of breath",Malaria
"body ache,shortness of breath,sore throat",Malaria
"vomiting,sore throat,headache",Malaria
"fever,runny nose,chills",Flu
"headache,vomiting,body ache",Malaria
"cough,runny nose,vomiting",Malaria
"shortness of breath,sore throat,body ache",COVID-19
"chills,body ache,fever",Flu
"shortness of breath,nausea,fever",COVID-19
"runny nose,fever,body ache",Malaria
"sore throat,vomiting,muscle pain",Malaria
"muscle pain,headache,fever",Flu
"weakness,nausea,body ache",Malaria
"chills,cough,headache",Flu
"sore throat,cough,runny nose",COVID-19
"vomiting,nausea,runny nose",Malaria
"chills,headache,weakness",Flu
"shortness of breath,nausea,headache",COVID-19
"body ache,nausea,headache",Malaria
"body ache,shortness of breath,muscle pain",Malaria
"runny nose,weakness,fever",Malaria
"sore throat,headache,shortness of breath",COVID-19
"sore throat,fever,muscle pain",Flu
"body ache,chills,headache",Flu
"muscle pain,nausea,chills",Flu
"vomiting,chills,cough",Malaria
"runny nose,body ache,chills",Malaria
"cough,sore throat,headache",COVID-19
"vomiting,shortness of breath,body ache",Malaria
"runny nose,sore throat,headache",Flu
"body ache,shortness of breath,vomiting",Malaria
"runny nose,muscle pain,vomiting",Malaria
"vomiting,nausea,fever",Malaria
"weakness,headache,vomiting",Malaria
"weakness,muscle pain,vomiting",Malaria
"cough,muscle pain,vomiting",Malaria
"headache,vomiting,shortness of breath",Malaria
"weakness,cough,headache",Malaria
"weakness,headache,fever",Flu
"headache,shortness of breath,fever",Flu
"nausea,muscle pain,headache",Flu
"cough,body ache,shortness of breath",COVID-19
"headache,cough,runny nose",Allergy
"nausea,shortness of breath,body ache",Malaria
"fever,cough,runny nose",COVID-19
"weakness,sore throat,body ache",Malaria
"chills,weakness,shortness of breath",COVID-19
"fever,vomiting,muscle pain",Flu
"cough,weakness,fever",COVID-19
"runny nose,body ache,chills",Malaria
"fever,sore throat,body ache",Malaria
"muscle pain,headache,nausea",Flu
"cough,weakness,vomiting",Malaria
"muscle pain,body ache,runny nose",Malaria
"weakness,vomiting,runny nose",Malaria
"chills,sore throat,body ache",Malaria
"cough,body ache,chills",Malaria
"headache,weakness,sore throat",Malaria
"headache,shortness of breath,cough",COVID-19
"nausea,headache,body ache",Malaria
"cough,headache,muscle pain",Flu
"chills,cough,body ache",Malaria
"headache,shortness of breath,runny nose",COVID-19
"fever,runny nose,sore throat",Cold
"weakness,muscle pain,runny nose",Malaria
"headache,body ache,nausea",Malaria
"body ache,runny nose,fever",Malaria
"cough,headache,nausea",COVID-19
"vomiting,cough,shortness of breath",COVID-19
"vomiting,nausea,cough",Malaria
"vomiting,nausea,body ache",Malaria
"cough,body ache,nausea",Malaria
"weakness,sore throat,nausea",Malaria
"headache,cough,sore throat",COVID-19
"sore throat,nausea,muscle pain",Flu
"chills,runny nose,headache",Flu
"nausea,sore throat,chills",Flu
"muscle pain,fever,cough",Flu
"weakness,fever,cough",Malaria
"cough,shortness of breath,chills",COVID-19
"runny nose,vomiting,sore throat",Malaria
"headache,chills,fever",Flu
"weakness,sore throat,chills",Malaria
"body ache,vomiting,headache",Malaria
"cough,body ache,shortness of breath",COVID-19
"fever,headache,cough",Flu
"cough,shortness of breath,runny nose",COVID-19
"shortness of breath,headache,nausea",COVID-19
"shortness of breath,sore throat,weakness",COVID-19
"shortness of breath,vomiting,nausea",Malaria
"weakness,chills,fever",Flu
"fever,chills,shortness of breath",Flu
"runny nose,vomiting,muscle pain",Malaria
"muscle pain,shortness of breath,cough",COVID-19
"vomiting,body ache,runny nose",Malaria
"muscle pain,cough,nausea",Flu
"body ache,fever,headache",Flu
"headache,fever,shortness of breath",Flu
